2000
L 41  467 334 500
C 28 661 13
C 227 160 20
C 666 237 9
C 848 404 9
C 565 221 14
C 175 241 15
C 147 362 15
C 676 454 19
C 721 784 9
C 466 116 17
C 180 429 18
C 629 389 4
C 4 101 5
C 920 987 17
C 52 582 9
C 366 472 14
C 958 179 4
C 987 823 18
C 96 594 2
C 653 520 4
C 472 20 13
C 953 824 14
C 57 665 13
C 280 167 7
C 690 868 7
C 828 479 5
C 703 449 14
C 3 910 1
C 27 610 8
C 282 393 8
C 863 961 6
C 599 251 19
C 81 558 4
C 358 238 19
C 464 457 13
C 221 922 17
C 867 260 19
C 343 234 2
C 19 352 3
C 411 811 14
C 405 881 12
C 760 898 12
C 842 694 5
C 535 500 16
C 155 323 11
C 688 939 11
C 17 932 9
C 210 495 20
C 648 189 12
C 851 695 4
C 637 649 1
C 407 134 5
C 177 812 2
C 304 496 3
C 537 551 12
C 732 565 19
C 445 228 15
C 526 178 6
C 928 205 10
C 257 312 2
C 199 727 13
C 353 795 3
C 567 149 17
C 255 742 9
C 103 815 8
C 73 965 10
C 137 169 12
C 970 53 9
C 52 178 17
C 981 695 7
C 929 731 19
C 859 752 10
C 958 238 15
C 972 208 17
C 171 147 4
C 511 174 20
C 107 205 20
C 788 261 6
C 435 492 13
C 76 667 4
C 367 899 15
C 167 212 15
C 129 793 18
C 854 12 12
C 889 326 8
C 299 489 15
C 836 612 8
C 957 503 12
C 482 829 8
C 361 952 17
C 646 183 18
C 554 32 3
C 945 476 5
C 81 195 4
C 632 343 3
C 369 282 10
C 437 599 16
C 179 654 13
C 399 350 13
C 945 293 12
C 649 590 5
C 177 705 20
C 750 528 9
C 722 668 6
C 774 184 12
C 884 37 16
C 189 681 15
C 759 850 7
C 260 427 14
C 421 161 19
C 546 350 4
C 461 846 19
C 594 371 6
C 502 246 1
C 254 953 1
C 586 419 16
C 616 113 16
C 592 18 6
C 370 336 6
C 746 644 13
C 482 815 6
C 726 201 14
C 306 80 14
C 990 591 15
C 223 857 1
C 849 322 6
C 762 702 9
C 374 152 9
C 235 638 3
C 237 272 13
C 200 343 20
C 481 370 12
C 145 984 15
C 85 79 20
C 282 386 20
C 650 193 6
C 516 608 9
C 499 425 17
C 769 331 15
C 502 970 18
C 598 77 19
C 851 888 4
C 53 505 2
C 267 662 16
C 81 695 19
C 872 94 11
C 538 121 6
C 523 243 6
C 718 135 18
C 599 499 13
C 554 124 12
C 66 429 3
C 556 818 16
C 692 910 2
C 132 728 3
C 149 277 7
C 348 278 18
C 338 175 5
C 125 139 2
C 340 640 7
C 81 148 8
C 951 907 12
C 110 557 18
C 9 403 17
C 540 23 15
C 454 369 7
C 485 999 9
C 930 573 19
C 816 884 14
C 31 604 4
C 791 422 11
C 987 364 9
C 994 579 4
C 709 657 2
C 285 477 4
C 272 828 16
C 549 517 10
C 743 867 6
C 590 891 10
C 538 604 17
C 212 991 14
C 409 620 18
C 662 128 1
C 759 842 1
C 89 494 3
C 620 486 7
C 964 486 12
C 943 466 15
C 445 788 10
C 827 954 5
C 281 246 18
C 285 114 11
C 832 673 4
C 312 232 4
C 239 768 10
C 683 209 8
C 795 245 13
C 639 935 9
C 479 207 11
C 954 601 1
C 43 718 13
C 377 623 13
C 983 885 7
C 720 257 3
C 439 606 17
C 924 652 18
C 35 699 17
C 890 367 7
C 221 975 1
C 792 565 8
C 258 684 12
C 829 782 6
C 162 689 4
C 870 342 3
C 196 180 10
C 72 715 12
C 736 755 15
C 477 154 10
C 882 851 10
C 237 301 17
C 604 73 2
C 197 595 6
C 485 62 10
C 560 718 14
C 79 709 3
C 224 574 3
C 475 815 4
C 446 532 9
C 684 361 13
C 286 266 10
C 151 604 14
C 594 76 19
C 604 533 9
C 184 417 5
C 616 14 7
C 996 873 9
C 510 396 2
C 791 866 10
C 20 355 9
C 251 81 12
C 825 228 14
C 454 309 11
C 238 991 20
C 853 448 8
C 54 877 11
C 197 56 14
C 589 862 17
C 429 888 20
C 585 841 8
C 520 560 8
C 581 382 7
C 989 784 4
C 960 462 13
C 392 843 4
C 923 611 1
C 692 443 11
C 919 849 13
C 576 845 7
C 556 603 5
C 498 508 19
C 338 723 6
C 411 193 18
C 943 227 15
C 290 416 2
C 339 544 17
C 12 274 14
C 740 401 4
C 135 828 14
C 437 134 18
C 671 722 4
C 659 540 9
C 282 848 7
C 290 227 19
C 71 106 6
C 1 434 11
C 555 507 20
C 730 75 4
C 439 194 9
C 664 673 9
C 358 280 8
C 764 713 14
C 452 170 19
C 766 704 17
C 649 377 18
C 537 459 13
C 955 105 7
C 937 366 15
C 155 290 7
C 182 635 14
C 936 846 19
C 456 403 15
C 599 41 6
C 74 324 5
C 863 749 17
C 597 334 8
C 426 43 5
C 592 761 10
C 175 139 17
C 481 471 9
C 713 666 11
C 806 109 11
C 59 684 7
C 759 103 7
C 391 93 17
C 583 950 18
C 435 12 8
C 869 165 4
C 973 791 17
C 149 515 19
C 243 388 18
C 711 91 15
C 563 125 8
C 370 121 8
C 658 336 16
C 221 576 20
C 919 241 12
C 712 209 16
C 263 830 15
C 336 783 13
C 988 339 6
C 670 940 9
C 391 728 6
C 537 320 5
C 997 354 4
C 494 562 6
C 554 700 3
C 714 629 15
C 26 463 9
C 748 679 12
C 199 3 3
C 280 16 11
C 98 858 11
C 553 551 3
C 444 649 6
C 55 572 10
C 858 552 10
C 640 860 7
C 627 44 3
C 936 473 15
C 333 756 12
C 391 534 12
C 322 79 3
C 176 580 10
C 388 429 6
C 2 610 8
C 274 760 20
C 42 55 14
C 65 928 13
C 284 726 19
C 523 201 8
C 88 997 13
C 175 750 19
C 455 893 11
C 406 531 10
C 165 521 8
C 964 440 14
C 389 710 9
C 763 320 9
C 821 264 4
C 754 722 17
C 854 586 6
C 524 818 3
C 120 659 9
C 682 341 15
C 500 566 3
C 754 552 11
C 516 226 7
C 602 737 2
C 901 749 8
C 102 265 2
C 843 710 9
C 489 858 5
C 121 106 7
C 987 371 11
C 972 518 14
C 353 281 3
C 996 213 12
C 115 804 6
C 333 564 5
C 837 453 5
C 333 972 2
C 544 370 18
C 88 129 18
C 340 923 2
C 343 876 12
C 500 648 14
C 253 311 14
C 332 451 15
C 599 216 13
C 834 849 13
C 912 141 10
C 450 180 10
C 535 562 6
C 111 817 12
C 763 321 7
C 345 443 11
C 593 664 3
C 444 833 17
C 502 25 20
C 953 7 7
C 543 129 12
C 70 395 9
C 541 59 1
C 715 944 19
C 658 384 19
C 383 638 18
C 635 30 3
C 315 80 2
C 425 752 5
C 446 412 5
C 45 825 5
C 549 994 10
C 132 9 17
C 429 761 14
C 930 746 13
C 283 873 20
C 880 835 8
C 570 589 10
C 560 521 18
C 189 163 5
C 621 705 16
C 713 334 20
C 137 615 5
C 58 511 4
C 846 943 18
C 831 655 12
C 351 290 13
C 295 420 2
C 360 767 14
C 34 133 12
C 301 378 8
C 879 500 16
C 709 72 2
C 952 970 4
C 64 537 11
C 610 791 19
C 443 161 2
C 718 298 4
C 933 695 10
C 72 468 4
C 864 845 10
C 50 646 3
C 444 155 20
C 768 885 2
C 768 847 7
C 187 535 10
C 364 633 12
C 140 625 5
C 346 200 19
C 31 221 18
C 624 584 16
C 344 352 20
C 70 367 20
C 174 487 11
C 345 716 5
C 699 162 6
C 115 321 3
C 541 804 14
C 733 452 12
C 229 224 20
C 983 665 6
C 950 826 12
C 897 213 12
C 986 662 11
C 584 906 19
C 622 719 7
C 218 991 20
C 566 103 20
C 498 867 6
C 103 430 1
C 25 534 2
C 833 235 8
C 393 827 9
C 624 692 19
C 800 244 12
C 86 695 9
C 753 597 13
C 121 819 8
C 71 22 2
C 991 52 12
C 523 965 17
C 980 61 6
C 523 300 9
C 235 953 13
C 682 876 18
C 289 292 20
C 776 461 3
C 131 660 1
C 638 80 1
C 545 929 9
C 141 762 15
C 633 270 3
C 0 560 5
C 141 99 17
C 665 833 10
C 827 254 9
C 319 984 11
C 168 417 18
C 125 406 11
C 463 48 11
C 969 344 20
C 643 155 5
